Отчет за выбранный период;
Значение;Дата
Показатель: Валовая прибыль (убыток) ;
94,33;07.05.2016 18:13:19
-34,68;07.05.2016 21:58:26
94,33;08.05.2016 18:39:07
94,33;09.05.2016 10:42:08
94,33;30.05.2016 16:10:06
Показатель: Выручка ;
29,68;07.05.2016 18:13:19
-7,6;07.05.2016 21:58:26
29,68;08.05.2016 18:39:07
29,68;09.05.2016 10:42:08
29,68;30.05.2016 16:10:06
Показатель: Дебиторская задолженность ;
46,99;07.05.2016 18:13:19
46,99;07.05.2016 21:58:26
46,99;08.05.2016 18:39:07
46,99;09.05.2016 10:42:08
46,99;30.05.2016 16:10:06
Показатель: Денежные средства ;
-131,39;07.05.2016 18:13:19
-131,39;07.05.2016 21:58:26
-131,39;08.05.2016 18:39:07
-131,39;09.05.2016 10:42:08
-131,39;30.05.2016 16:10:06
Показатель: Долгосрочные обязательства ;
-344,31;07.05.2016 18:13:19
-344,44;07.05.2016 21:58:26
-344,31;08.05.2016 18:39:07
-344,31;09.05.2016 10:42:08
-344,31;30.05.2016 16:10:06
Показатель: Запасы ;
-108,61;07.05.2016 18:13:19
-108,61;07.05.2016 21:58:26
-108,61;08.05.2016 18:39:07
-108,61;09.05.2016 10:42:08
-108,61;30.05.2016 16:10:06
Показатель: Краткосрочные обязательства ;
35,28;07.05.2016 18:13:19
35,28;07.05.2016 21:58:26
35,28;08.05.2016 18:39:07
35,28;09.05.2016 10:42:08
35,28;30.05.2016 16:10:06
Показатель: Нераспределенная прибыль ;
6,82;07.05.2016 18:13:19
6,82;07.05.2016 21:58:26
6,82;08.05.2016 18:39:07
6,82;09.05.2016 10:42:08
6,82;30.05.2016 16:10:06
Показатель: Основные средства ;
-27,96;07.05.2016 18:13:19
-27,96;07.05.2016 21:58:26
-27,96;08.05.2016 18:39:07
-27,96;09.05.2016 10:42:08
-27,96;30.05.2016 16:10:06
Показатель: Прочие внеоборотные активы ;
100;07.05.2016 18:13:19
100;07.05.2016 21:58:26
100;08.05.2016 18:39:07
100;09.05.2016 10:42:08
100;30.05.2016 16:10:06
Показатель: Прочие текущие активы ;
0;07.05.2016 18:13:19
0;07.05.2016 21:58:26
0;08.05.2016 18:39:07
0;09.05.2016 10:42:08
0;30.05.2016 16:10:06
Показатель: Уставный капитал ;
0;07.05.2016 18:13:19
0;07.05.2016 21:58:26
0;08.05.2016 18:39:07
0;09.05.2016 10:42:08
0;30.05.2016 16:10:06
Показатель: Фонды и резервы ;
23,96;07.05.2016 18:13:19
23,96;07.05.2016 21:58:26
23,96;08.05.2016 18:39:07
23,96;09.05.2016 10:42:08
23,96;30.05.2016 16:10:06
Показатель: Чистая прибыль (убыток) ;
-362,77;07.05.2016 18:13:19
-362,48;07.05.2016 21:58:26
-362,77;08.05.2016 18:39:07
-362,77;09.05.2016 10:42:08
-362,77;30.05.2016 16:10:06
